ID_or_Date,Species,grp1,grp2,Sex,Pregnant,Bone,Geography,bodyL,bodyM,boneM,Source,
1083,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.87,0.059,0.0029174,Buffrenil (1985),0.049447458
1276,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.01,0.0825,0.0030294,Buffrenil (1985),0.03672
1520,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.1,0.078,0.0033116,Buffrenil (1985),0.04245641
1078,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.04,0.078,0.0032044,Buffrenil (1985),0.041082051
1149,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.15,,0.0040757,Buffrenil (1985),#DIV/0!
1167,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.08,0.111,0.003415,Buffrenil (1985),0.030765766
1191,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.2,,0.0047484,Buffrenil (1985),#DIV/0!
1235,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.71,0.053,0.0021408,Buffrenil (1985),0.040392453
1186,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2,0.081,0.0033634,Buffrenil (1985),0.041523457
1505,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.02,0.09,0.0037101,Buffrenil (1985),0.041223333
963,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.28,,0.0039902,Buffrenil (1985),#DIV/0!
1079,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.11,0.1065,0.0034253,Buffrenil (1985),0.032162441
1196,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.95,0.067,0.0025235,Buffrenil (1985),0.037664179
1503,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.15,0.086,0.0030776,Buffrenil (1985),0.035786047
1039,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.04,0.075,0.0033232,Buffrenil (1985),0.044309333
1278,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.23,0.13,0.0045537,Buffrenil (1985),0.035028462
957,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.12,,0.0034981,Buffrenil (1985),#DIV/0!
1068,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.99,,0.0031129,Buffrenil (1985),#DIV/0!
1221,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.1,,0.0038553,Buffrenil (1985),#DIV/0!
1260,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.02,0.086,0.0030365,Buffrenil (1985),0.03530814
1162,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.08,,0.0036949,Buffrenil (1985),#DIV/0!
1012,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.98,,0.0029705,Buffrenil (1985),#DIV/0!
1169,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.95,0.11,0.0029879,Buffrenil (1985),0.027162727
1281,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.22,,0.0047495,Buffrenil (1985),#DIV/0!
1265,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.08,0.083,0.0037599,Buffrenil (1985),0.0453
1126,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.98,0.098,0.0029987,Buffrenil (1985),0.03059898
1237,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.99,0.093,0.0032026,Buffrenil (1985),0.034436559
1541,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.06,0.086,0.0031678,Buffrenil (1985),0.036834884
1290,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.1,,0.0035431,Buffrenil (1985),#DIV/0!
