ID_or_Date,Species,grp1,grp2,Sex,Pregnant,Bone,Geography,bodyL,bodyM,boneM,Source,
N.No.211.F.M.,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,19.2024,40.21,6.27,Nishiwaki (1950),
N.No.224.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,22.5552,64.262,10.49,Nishiwaki (1950),
N.No.225.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,22.86,57.602,11.42,Nishiwaki (1950),
N.No.236.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,22.5552,69.542,10.2,Nishiwaki (1950),
N.No.254.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,21.9456,60.723,9.37,Nishiwaki (1950),
N.No.262.F.M.,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,19.5072,41.648,7.08,Nishiwaki (1950),
N.No.325.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,21.6408,57.682,7.82,Nishiwaki (1950),
N.No.357.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,21.6408,58.512,8.96,Nishiwaki (1950),
H.No.617.F.M.,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,21.0312,47.576,7.883,Nishiwaki (1950),
H.No.702.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,20.7264,47.367,9.067,Nishiwaki (1950),
H.No.816.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,20.7264,48.498,9.227,Nishiwaki (1950),
N.No.487.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,20.7264,49.695,7.45,Nishiwaki (1950),
r/N.No.15.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,20.7264,49.3859,8.012,Nishiwaki (1950),
N.No.21.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,22.2504,57.1338,10.012,Nishiwaki (1950),
N.No.25.F.M.,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,19.2024,40.386,7.002,Nishiwaki (1950),
N.No.85.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,18.5928,37.371,5.91,Nishiwaki (1950),
H.No.86.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,21.6408,53.549,9.514,Nishiwaki (1950),
N.No.68.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,22.2504,58.529,10.675,Nishiwaki (1950),
