"","Intercept","Slope","BM form Min SM","BM from mean SM","BM from Max SM"
"Terrestrial",1.20382183585078,0.982518550867028,72975.2078489642,88677.0101163608,104329.233348463
"Cetacea",1.49312182796055,0.976887658347373,135364.032851827,164306.192522458,193127.589813872
"Odontoceti",1.49770637989753,0.970561415173603,129576.421258477,157083.900179415,184445.267835699
"Mysticeti",1.16023116703677,1.08062716884662,153104.001345136,189702.683177905,226838.963189827
